Time,Vm,Cai
350.66,-73.0890529663883,7.18844271207666e-05
351.66,-73.0744253190587,7.18147674958054e-05
352.66,-73.0596857835317,7.17458407452036e-05
353.66,-73.0448327309228,7.16776442563309e-05
354.66,-73.0298644949686,7.16101754742253e-05
355.66,-73.014779370908,7.15434319019372e-05
356.66,-72.9995756143224,7.14774111008984e-05
357.66,-72.9842514399343,7.14121106913158e-05
358.66,-72.968805020361,7.13475283525929e-05
359.66,-72.9532344848228,7.12836618237773e-05
360.66,-72.9375379178028,7.1220508904037e-05
361.66,-72.9217133576562,7.1158067453166e-05
362.66,-72.905758795168,7.10963353921194e-05
363.66,-72.8896721720547,7.10353107035809e-05
364.66,-72.8734513794092,7.09749914325612e-05
365.66,-72.8570942560859,7.09153756870309e-05
366.66,-72.8405985870226,7.08564616385883e-05
367.66,-72.823962101497,7.07982475231624e-05
368.66,-72.8071824713141,7.07407316417537e-05
369.66,-72.7902573089221,7.06839123612145e-05
370.66,-72.7731841654526,7.06277881150684e-05
371.66,-72.7559605286819,7.05723574043726e-05
372.66,-72.7385838209094,7.05176187986232e-05
373.66,-72.7210513967492,7.04635709367064e-05
374.66,-72.7033605408309,7.04102125278966e-05
375.66,-72.6855084654044,7.03575423529035e-05
376.66,-72.6674923078449,7.03055592649705e-05
377.66,-72.6493091280523,7.02542621910268e-05
378.66,-72.6309559057403,7.02036501328945e-05
379.66,-72.6124295376087,7.0153722168554e-05
380.66,-72.5937268343946,7.01044774534704e-05
381.66,-72.5748445177943,7.00559152219821e-05
382.66,-72.5557792172504,7.00080347887564e-05
383.66,-72.5365274665968,6.99608355503136e-05
384.66,-72.5170857005538,6.99143169866238e-05
385.66,-72.497450251066,6.98684786627784e-05
386.66,-72.4776173434738,6.9823320230741e-05
387.66,-72.4575830925095,6.97788414311818e-05
388.66,-72.4373434981096,6.9735042095397e-05
389.66,-72.4168944410318,6.96919221473211e-05
390.66,-72.396231678266,6.96494816056324e-05
391.66,-72.375350838229,6.96077205859602e-05
392.66,-72.3542474157296,6.95666393031961e-05
393.66,-72.3329167666907,6.95262380739151e-05
394.66,-72.3113541026161,6.94865173189135e-05
395.66,-72.2895544847848,6.9447477565868e-05
396.66,-72.2675128181596,6.94091194521221e-05
397.66,-72.2452238449905,6.9371443727609e-05
398.66,-72.2226821380968,6.93344512579141e-05
399.66,-72.1998820938068,6.92981430274891e-05
400.66,-72.1768179245365,6.9262520143022e-05
401.66,-72.1534836509828,6.92275838369736e-05
402.66,-72.1298730939089,6.91933354712901e-05
403.66,-72.1059798654958,6.91597765412994e-05
404.66,-72.0817973602336,6.91269086798038e-05
405.66,-72.0573187453208,6.90947336613788e-05
406.66,-72.0325369505431,6.90632534068907e-05
407.66,-72.0074446575957,6.90324699882451e-05
408.66,-71.982034288813,6.90023856333802e-05
409.66,-71.9562979952673,6.89730027315197e-05
